,pricing,size,address,link
0,"$4,800,000","6 bds5 ba3,958 sqft - House for sale","1151 83rd St, Brooklyn, NY 11228",https://www.zillow.com/homedetails/1151-83rd-St-Brooklyn-NY-11228/30709746_zpid/
1,"$3,295,000","7 bds5 ba3,563 sqft - House for sale","144 Westminster Rd, Brooklyn, NY 11218",https://www.zillow.com/homedetails/144-Westminster-Rd-Brooklyn-NY-11218/30666659_zpid/
2,"$650,000","3 bds2 ba1,040 sqft - Condo for sale","3814 Shore Pkwy #3C, Brooklyn, NY 11235",https://www.zillow.com/homedetails/3814-Shore-Pkwy-3C-Brooklyn-NY-11235/82770594_zpid/
3,"$499,000","3 bds2 ba1,232 sqft - House for sale","120 Essex St, Brooklyn, NY 11208",https://www.zillow.com/homedetails/120-Essex-St-Brooklyn-NY-11208/30637455_zpid/
4,"$240,000",2 bds1 ba870 sqft - Condo for sale,"2555 Batchelder St APT 2A, Brooklyn, NY 11235",https://www.zillow.com/homedetails/2555-Batchelder-St-APT-2A-Brooklyn-NY-11235/245031071_zpid/
5,"$1,695,000","4 bds4 ba4,000 sqft - House for sale","1133 E 22nd St, Brooklyn, NY 11210",https://www.zillow.com/homedetails/1133-E-22nd-St-Brooklyn-NY-11210/30752159_zpid/
6,"$759,000","3 bds3 ba2,000 sqft - House for sale","4809 Foster Ave, Brooklyn, NY 11203",https://www.zillow.com/homedetails/4809-Foster-Ave-Brooklyn-NY-11203/30656522_zpid/
7,"$848,888","3 bds3 ba1,827 sqft - House for sale","1717 E 34th St, Brooklyn, NY 11234",https://www.zillow.com/homedetails/1717-E-34th-St-Brooklyn-NY-11234/30756916_zpid/
8,"$1,179,000","5 bds5 ba2,240 sqft - House for sale","50 Barbey St, Brooklyn, NY 11207",https://www.zillow.com/homedetails/50-Barbey-St-Brooklyn-NY-11207/30636718_zpid/
9,"$110,000","Studio 1 ba2,400 sqft - Apartment for sale","7416 20th Ave, Brooklyn, NY 11204",https://www.zillow.com/homedetails/7416-20th-Ave-Brooklyn-NY-11204/30705737_zpid/
10,"$1,450,000","6 bds2 ba2,653 sqft - Multi-family home for sale","429 Halsey St, Brooklyn, NY 11233",https://www.zillow.com/homedetails/429-Halsey-St-Brooklyn-NY-11233/30604687_zpid/
11,"$4,250,000","4 bds5 ba4,500 sqft - House for sale","7 Arlington Pl, Brooklyn, NY 11216",https://www.zillow.com/homedetails/7-Arlington-Pl-Brooklyn-NY-11216/30610691_zpid/
12,"$1,050,000","3 bds3 ba1,680 sqft - House for sale","2411 E 4th St, Brooklyn, NY 11223",https://www.zillow.com/homedetails/2411-E-4th-St-Brooklyn-NY-11223/30738981_zpid/
13,"$509,000",1 bd1 ba-- sqft - Condo for sale,"2025 Ocean Ave APT 2A, Brooklyn, NY 11230",https://www.zillow.com/homedetails/2025-Ocean-Ave-APT-2A-Brooklyn-NY-11230/2060424794_zpid/
14,"$848,000",3 bds2 ba-- sqft - Multi-family home for sale,"2382 Brigham Street, Sheepshead Bay, NY 11229",https://www.zillow.com/homedetails/2382-Brigham-St-Brooklyn-NY-11229/30747501_zpid/
15,"$200,000","5 bds2 ba1,056 sqft - House for sale","16 Matthews Pl, Brooklyn, NY 11236",https://www.zillow.com/homedetails/16-Matthews-Pl-Brooklyn-NY-11236/30778141_zpid/
16,"$500,000",2 bds1 ba629 sqft - Condo for sale,"458 E 25th St #102, Brooklyn, NY 11226",https://www.zillow.com/homedetails/458-E-25th-St-102-Brooklyn-NY-11226/2064287235_zpid/
17,"$2,788,000","4 bds4 ba3,960 sqft - Townhouse for sale","68 Sterling St, Brooklyn, NY 11225",https://www.zillow.com/homedetails/68-Sterling-St-Brooklyn-NY-11225/30595088_zpid/
18,"$250,000",Studio 1 ba-- sqft - Condo for sale,"100 Remsen St APT 1E, Brooklyn, NY 11201",https://www.zillow.com/homedetails/100-Remsen-St-APT-1E-Brooklyn-NY-11201/216112065_zpid/
19,"$638,000","3 bds2 ba1,290 sqft - House for sale","568 E 31st St, Brooklyn, NY 11210",https://www.zillow.com/homedetails/568-E-31st-St-Brooklyn-NY-11210/30663653_zpid/
